Panel_ID,Temperature_C,Voltage_V,Current_A,Efficiency_%,Dust_Level_%,Maintenance_Needed
1,34.9816047538945,37.872710405548844,8.736408184666985,82.49175609322634,72.99983109899703,0
2,58.02857225639664,39.46871318750043,8.329120962314033,88.66866931281486,18.451199559871156,0
3,49.2797576724562,47.090947864043606,6.761539125028601,84.06666951640833,34.663969436988616,0
4,43.946339367881464,36.80008772119784,11.07266670101488,72.08256457779491,66.32806368578183,1
5,26.24074561769746,47.39299369624342,9.76624160508629,74.63950591958888,48.20893445244799,0
6,26.239780813448107,31.76268861953383,13.657009923240036,75.48320460077298,73.85710386348939,0
7,22.32334448672798,45.535968744172614,5.321095804820582,76.44660634112113,96.12079012228597,0
8,54.647045830997406,46.95095266109473,11.438679275551262,84.1350847987626,11.654668771519749,0
9,44.04460046972835,33.63635305674678,12.629488785115612,82.59914449563483,70.95677163980609,0
10,48.32290311184182,38.60693064744401,12.59486569188307,75.07900095910523,23.034415563211454,0
11,20.823379771832098,33.309995493273114,13.860739670955251,71.68887108639218,41.44767274075692,1
12,58.79639408647977,44.132082579884354,12.29033742829494,74.28580511186796,3.2862725795139824,0
13,53.29770563201687,40.706955361233135,14.278100616476962,94.60953281546509,13.590738229269894,0
14,28.493564427131048,42.70646693416642,8.326565998208915,81.7136737447868,31.977728904889968,0
15,27.272998688284027,33.929739339124225,10.032094167515432,91.68363761755282,34.198580528798495,0
16,27.33618039413735,34.23491724104839,5.1407966328289065,91.21881166672108,89.95852164620958,0
17,32.169689718381505,30.829946510198127,5.069575873032912,82.78798893657185,74.18129092665151,1
18,40.990257265289515,36.441350703914594,7.401266204515199,87.6671927115136,97.2182968187041,0
19,37.27780074568463,41.1948932266735,6.008071971390852,74.8188002603178,59.90715103352405,1
20,31.649165607921677,47.15869827994658,7.602113679357537,87.20991762317271,24.171373209131797,1
21,44.474115788895176,43.338548949173614,6.770432945283974,76.80961448158224,32.765502992164286,0
22,25.579754426081674,38.70792646799503,5.285200248386483,90.80155241885377,31.983592329196707,0
23,31.685785941408724,49.062402287882755,14.093041464060494,72.09310332772274,32.64943276632516,0
24,34.65447373174767,44.38490401151664,5.082231313888915,89.32846682213193,67.29641731118157,0
25,38.24279936868144,48.603304057251,12.360821443370854,72.49842266421548,53.08079280904162,0
26,51.407038455720546,40.55175946544331,6.521478869195166,92.02973092235773,38.54241780866443,0
27,27.98695128633439,35.17808549586279,14.122296219996,77.6051129533751,14.90897687287166,0
28,40.569377536544465,31.05653372729444,13.927959395898858,86.35983412076436,2.2139162942145907,1
